EDA-04066-V1-0_mounter-top.asc - Mounter For Project [EDA-04066-V1-0_project.PrjPCB] (PCB Document : EDA-04066-V1-0_pcb.pcbdoc)|

TOP Mounter List - 150 SMD Components on Top / 1819 Total Components - 12/08/2019 14:17:49
Units = INCH

Designator | Mid-X | Mid-Y | Rotation | Part_Number | Footprint
JD0|0.5253|6.08661|90|SAMTEC_SEAM-50-02.0-L-08-2-A-GP-K-TR|SAMTEC_SEAM-50-02.0-L-08-2-A-GP-K-TR
JD1|1.41762|6.08661|90|SAMTEC_SEAM-50-02.0-L-08-2-A-GP-K-TR|SAMTEC_SEAM-50-02.0-L-08-2-A-GP-K-TR
JD2|2.30994|6.08661|90|SAMTEC_SEAM-50-02.0-L-08-2-A-GP-K-TR|SAMTEC_SEAM-50-02.0-L-08-2-A-GP-K-TR
JD3|3.20226|6.08661|90|SAMTEC_SEAM-50-02.0-L-08-2-A-GP-K-TR|SAMTEC_SEAM-50-02.0-L-08-2-A-GP-K-TR
JD4|4.09459|6.08661|90|SAMTEC_SEAM-50-02.0-L-08-2-A-GP-K-TR|SAMTEC_SEAM-50-02.0-L-08-2-A-GP-K-TR
JD5|4.98691|6.08661|90|SAMTEC_SEAM-50-02.0-L-08-2-A-GP-K-TR|SAMTEC_SEAM-50-02.0-L-08-2-A-GP-K-TR
JD6|5.87923|6.08661|90|SAMTEC_SEAM-50-02.0-L-08-2-A-GP-K-TR|SAMTEC_SEAM-50-02.0-L-08-2-A-GP-K-TR
JD7|6.77156|6.08661|90|SAMTEC_SEAM-50-02.0-L-08-2-A-GP-K-TR|SAMTEC_SEAM-50-02.0-L-08-2-A-GP-K-TR
JD8|7.66388|6.08661|90|SAMTEC_SEAM-50-02.0-L-08-2-A-GP-K-TR|SAMTEC_SEAM-50-02.0-L-08-2-A-GP-K-TR
JD9|8.5562|6.08661|90|SAMTEC_SEAM-50-02.0-L-08-2-A-GP-K-TR|SAMTEC_SEAM-50-02.0-L-08-2-A-GP-K-TR
JD10|9.44852|6.08661|90|SAMTEC_SEAM-50-02.0-L-08-2-A-GP-K-TR|SAMTEC_SEAM-50-02.0-L-08-2-A-GP-K-TR
JD11|10.34085|6.08661|90|SAMTEC_SEAM-50-02.0-L-08-2-A-GP-K-TR|SAMTEC_SEAM-50-02.0-L-08-2-A-GP-K-TR
JP0|0.5253|1.08661|90|SAMTEC_SEAM8-40-S02.0-S-10-2-GP-K|SAMTEC_SEAM8-40-S02.0-S-10-2-GP-K_HP
JP1|1.41762|1.08661|270|SAMTEC_SEAM8-40-S02.0-S-10-2-GP-K|SAMTEC_SEAM8-40-S02.0-S-10-2-GP-K_HP
JP2|2.30994|1.08661|90|SAMTEC_SEAM8-40-S02.0-S-10-2-GP-K|SAMTEC_SEAM8-40-S02.0-S-10-2-GP-K_HP
JP3|3.20226|1.08661|270|SAMTEC_SEAM8-40-S02.0-S-10-2-GP-K|SAMTEC_SEAM8-40-S02.0-S-10-2-GP-K_HP
JP4|4.09459|1.08661|90|SAMTEC_SEAM8-40-S02.0-S-10-2-GP-K|SAMTEC_SEAM8-40-S02.0-S-10-2-GP-K_HP
JP5|4.98691|1.08661|270|SAMTEC_SEAM8-40-S02.0-S-10-2-GP-K|SAMTEC_SEAM8-40-S02.0-S-10-2-GP-K_HP
JP6|5.87923|1.08661|90|SAMTEC_SEAM8-40-S02.0-S-10-2-GP-K|SAMTEC_SEAM8-40-S02.0-S-10-2-GP-K_HP
JP7|6.77156|1.08661|270|SAMTEC_SEAM8-40-S02.0-S-10-2-GP-K|SAMTEC_SEAM8-40-S02.0-S-10-2-GP-K_HP
JP8|7.66388|1.08661|90|SAMTEC_SEAM8-40-S02.0-S-10-2-GP-K|SAMTEC_SEAM8-40-S02.0-S-10-2-GP-K_HP
JP9|8.5562|1.08661|270|SAMTEC_SEAM8-40-S02.0-S-10-2-GP-K|SAMTEC_SEAM8-40-S02.0-S-10-2-GP-K_HP
JP10|9.44852|1.08661|90|SAMTEC_SEAM8-40-S02.0-S-10-2-GP-K|SAMTEC_SEAM8-40-S02.0-S-10-2-GP-K_HP
JP11|10.34085|1.08661|270|SAMTEC_SEAM8-40-S02.0-S-10-2-GP-K|SAMTEC_SEAM8-40-S02.0-S-10-2-GP-K_HP
