COMET FPGA pin,Signal ID
COMET_B_J1-IC3-161,DC5_ELKS.GBTX_ELK_CH4_1_P
COMET_B_J1-IC3-160,DC5_ELKS.GBTX_ELK_CH5_1_N
COMET_B_J1-IC3-159,DC5_ELKS.GBTX_ELK_CH5_1_P
COMET_B_J1-IC3-183,DC5_ELKS.GBTX_ELK_CH6_1_N
COMET_B_J1-IC3-182,DC5_ELKS.GBTX_ELK_CH6_1_P
COMET_B_J1-IC3-181,DC5_ELKS.GBTX_ELK_CH7_1_N
COMET_B_J1-IC3-180,DC5_ELKS.GBTX_ELK_CH7_1_P
COMET_A_J1-IC3-188,DC5_ELKS.GBTX_ELK_CH8_1_N
COMET_A_J1-IC3-189,DC5_ELKS.GBTX_ELK_CH8_1_P
COMET_A_J1-IC3-190,DC5_ELKS.GBTX_ELK_CH9_1_N
COMET_A_J1-IC3-191,DC5_ELKS.GBTX_ELK_CH9_1_P
COMET_A_J2-IC3-188,DC5_ELKS.GBTX_ELK_CH10_1_N
COMET_A_J2-IC3-189,DC5_ELKS.GBTX_ELK_CH10_1_P
COMET_A_J2-IC3-190,DC5_ELKS.GBTX_ELK_CH11_1_N
COMET_A_J2-IC3-191,DC5_ELKS.GBTX_ELK_CH11_1_P
