EDA-03992-V1-0_mounter-top.asc - Mounter for Project [EDA-03992-V1-0_project.PrjPCB] (PCB Document : EDA-03992-V1-0_pcb.pcbdoc)|

TOP Mounter List - 150 SMD Components on Top / 1771 Total Components - 07/05/2019 11:00:37
Units = INCH

Designator | Mid-X | Mid-Y | Rotation | Part_Number | Footprint
JS_JPU_ZERO_23|9.89375|2.11871|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_ZERO_24|9|0.24379|180|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_ZERO_25|9|1.74379|180|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_ZERO_26|9|1.36879|180|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_ZERO_27|9.89375|1.36879|180|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_ZERO_28|9.89375|0.61879|180|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_ZERO_29|9.89375|0.2438|180|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_ZERO_30|9.89375|0.99379|180|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_PT_EIGHT_NINE_1|2.75625|1.36871|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_PT_EIGHT_NINE_2|2.75625|1.55621|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_PT_FIVE_SIX_1|6.325|1.93129|180|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_PT_FIVE_SIX_2|6.325|1.74379|180|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_PT_FOUR_FIVE_1|7.21875|0.99379|180|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_PT_FOUR_FIVE_2|7.21875|0.80629|180|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_PT_NINE_TEN_1|0.96875|1.55621|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_PT_NINE_TEN_2|0.96875|1.36871|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_PT_ONE_TWO_1|9|1.18129|180|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_PT_ONE_TWO_2|9|0.61879|180|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_PT_SIX_SEVEN_1|3.65|0.80629|180|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_PT_SIX_SEVEN_2|3.65|0.61879|180|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_PT_TEN_ELEVEN_1|0.96875|0.80621|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_PT_TEN_ELEVEN_2|0.96875|0.24371|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_PT_TWO_THREE_1|8.10625|1.36879|180|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_PT_TWO_THREE_2|8.10625|1.55629|180|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_PT_ZERO_ONE_1|9.89375|1.93121|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_PT_ZERO_ONE_2|9.89375|1.74371|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JD0|10.34085|6.08661|90|SAMTEC_SEAM-50-02.0-L-08-2-A-GP-K-TR|SAMTEC_SEAM-50-02.0-L-08-2-A-GP-K-TR
JD1|9.44852|6.08661|90|SAMTEC_SEAM-50-02.0-L-08-2-A-GP-K-TR|SAMTEC_SEAM-50-02.0-L-08-2-A-GP-K-TR
JD2|8.5562|6.08661|90|SAMTEC_SEAM-50-02.0-L-08-2-A-GP-K-TR|SAMTEC_SEAM-50-02.0-L-08-2-A-GP-K-TR
JD3|7.66388|6.08661|90|SAMTEC_SEAM-50-02.0-L-08-2-A-GP-K-TR|SAMTEC_SEAM-50-02.0-L-08-2-A-GP-K-TR
JD4|6.77156|6.08661|90|SAMTEC_SEAM-50-02.0-L-08-2-A-GP-K-TR|SAMTEC_SEAM-50-02.0-L-08-2-A-GP-K-TR
JD5|5.87923|6.08661|90|SAMTEC_SEAM-50-02.0-L-08-2-A-GP-K-TR|SAMTEC_SEAM-50-02.0-L-08-2-A-GP-K-TR
JD6|4.98691|6.08661|90|SAMTEC_SEAM-50-02.0-L-08-2-A-GP-K-TR|SAMTEC_SEAM-50-02.0-L-08-2-A-GP-K-TR
JD7|4.09459|6.08661|90|SAMTEC_SEAM-50-02.0-L-08-2-A-GP-K-TR|SAMTEC_SEAM-50-02.0-L-08-2-A-GP-K-TR
JD8|3.20226|6.08661|90|SAMTEC_SEAM-50-02.0-L-08-2-A-GP-K-TR|SAMTEC_SEAM-50-02.0-L-08-2-A-GP-K-TR
JD9|2.30994|6.08661|90|SAMTEC_SEAM-50-02.0-L-08-2-A-GP-K-TR|SAMTEC_SEAM-50-02.0-L-08-2-A-GP-K-TR
JD10|1.41762|6.08661|90|SAMTEC_SEAM-50-02.0-L-08-2-A-GP-K-TR|SAMTEC_SEAM-50-02.0-L-08-2-A-GP-K-TR
JD11|0.5253|6.08661|90|SAMTEC_SEAM-50-02.0-L-08-2-A-GP-K-TR|SAMTEC_SEAM-50-02.0-L-08-2-A-GP-K-TR
JP0|10.34085|1.08661|270|SAMTEC_SEAM8-40-S02.0-S-10-2-GP-K|SAMTEC_SEAM8-40-S02.0-S-10-2-GP-K_HP
JP1|9.44852|1.08661|90|SAMTEC_SEAM8-40-S02.0-S-10-2-GP-K|SAMTEC_SEAM8-40-S02.0-S-10-2-GP-K_HP
JP2|8.5562|1.08661|270|SAMTEC_SEAM8-40-S02.0-S-10-2-GP-K|SAMTEC_SEAM8-40-S02.0-S-10-2-GP-K_HP
JP3|7.66388|1.08661|90|SAMTEC_SEAM8-40-S02.0-S-10-2-GP-K|SAMTEC_SEAM8-40-S02.0-S-10-2-GP-K_HP
JP4|6.77156|1.08661|270|SAMTEC_SEAM8-40-S02.0-S-10-2-GP-K|SAMTEC_SEAM8-40-S02.0-S-10-2-GP-K_HP
JP5|5.87923|1.08661|90|SAMTEC_SEAM8-40-S02.0-S-10-2-GP-K|SAMTEC_SEAM8-40-S02.0-S-10-2-GP-K_HP
JP6|4.98691|1.08661|270|SAMTEC_SEAM8-40-S02.0-S-10-2-GP-K|SAMTEC_SEAM8-40-S02.0-S-10-2-GP-K_HP
JP7|4.09459|1.08661|90|SAMTEC_SEAM8-40-S02.0-S-10-2-GP-K|SAMTEC_SEAM8-40-S02.0-S-10-2-GP-K_HP
JP8|3.20226|1.08661|270|SAMTEC_SEAM8-40-S02.0-S-10-2-GP-K|SAMTEC_SEAM8-40-S02.0-S-10-2-GP-K_HP
JP9|2.30994|1.08661|90|SAMTEC_SEAM8-40-S02.0-S-10-2-GP-K|SAMTEC_SEAM8-40-S02.0-S-10-2-GP-K_HP
JP10|1.41762|1.08661|270|SAMTEC_SEAM8-40-S02.0-S-10-2-GP-K|SAMTEC_SEAM8-40-S02.0-S-10-2-GP-K_HP
JP11|0.5253|1.08661|90|SAMTEC_SEAM8-40-S02.0-S-10-2-GP-K|SAMTEC_SEAM8-40-S02.0-S-10-2-GP-K_HP
